word,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42
anny,2.500000,6.000000,20.250000,58.000000,185.750000,580.500000,1832.000000,5816.250000,18438.250000,58513.500000,185708.750000,589372.250000,1870585.750000,5936942.500000,18842963.500000,59804944.000000,189812458.500000,602438254.750000,1912055182.000000,6068596958.250000,19260882640.500000,61131362568.500000,194022442533.750000,615800249077.250000,1954464348633.500000,6203198028613.250000,19688087845499.250000,62487252740782.750000,198325849916292.500000,629458665888243.000000,1997814264906496.500000,6340784635061970.000000,20124768600614172.000000,63873216729176624.000000,202724706867352384.000000,643420026091814144.000000,2042125680551014912.000000,6481422905806318592.000000,20571134912997109760.000000,65289921327249465344.000000,207221130236482781184.000000,657691048534985932800.000000,2.0874199210737376e+21
bezeng,3.500000,9.666667,24.666667,76.833333,227.833333,710.333333,2245.166667,7092.500000,22494.833333,71362.666667,226432.333333,718632.666667,2280742.000000,7238644.166667,22974353.333333,72917158.833333,231428707.000000,734522233.000000,2331270876.500000,7399129080.500000,23483805853.666668,74534332685.500000,236561605082.500000,750813633140.166626,2382978051376.666504,7563240924451.333008,24004674847737.667969,76187499562492.328125,241808527989893.843750,767466638824813.375000,2435832377835314.000000,7730993209050092.000000,24537097274149628.000000,77877334303781008.000000,247171828456401568.000000,784489008627017728.000000,2489859012250584576.000000,7902466233064881152.000000,25081328805153406976.000000,79604649495381458944.000000,252654086651921399808.000000,801888933706318086144.000000,2.5450839545949806e+21
bedeon,3.500000,7.666667,23.500000,77.666667,239.333333,763.500000,2426.833333,7696.000000,24445.166667,77588.500000,246261.833333,781644.333333,2480832.666667,7873867.666667,24990637.666667,79316830.166667,251740741.000000,798990225.166667,2535883977.666667,8048543431.000000,25544957738.500000,81076143686.833328,257324405306.000000,816711876126.833374,2592129913601.833496,8227059852291.833008,26111543811901.000000,82874408654867.671875,263031847492339.343750,834826503353096.000000,2649623219938569.500000,8409535609407851.000000,26690696486087836.000000,84712558695313408.000000,268865880080972000.000000,853342911429644800.000000,2708391724036916736.000000,8596058668305236992.000000,27282694734721564672.000000,86591478805571420160.000000,274829311204117544960.000000,872270012463049211904.000000,2.7684637104708083e+21
bevin,3.000000,6.800000,15.600000,44.200000,131.400000,408.000000,1286.200000,4066.200000,12891.000000,40893.600000,129758.000000,411803.200000,1306954.000000,4148023.000000,13165174.000000,41784306.200000,132617433.200000,420909100.800000,1335906660.600000,4239981626.600000,13457111540.799999,42710999860.199997,135558772836.600006,430244691275.000000,1365536813268.000000,4334023934291.200195,13755589219570.800781,43658327150334.398438,138565458681981.000000,439787495155280.375000,1395824347109206.500000,4430152356426737.500000,14060687465316968.000000,44626666554851712.000000,141638833286841088.000000,449541958734509056.000000,1426783657936576512.000000,4528412903404124672.000000,14372552776062636032.000000,45616483679176507392.000000,144780375182774845440.000000,459512775809015939072.000000,1.4584296446610427e+21
qenn,2.500000,5.500000,14.000000,41.250000,127.500000,397.750000,1259.000000,3989.500000,12652.750000,40154.250000,127430.000000,404432.250000,1283601.750000,4073943.250000,12930110.000000,41038339.000000,130249921.000000,413395096.500000,1312058453.750000,4164290947.500000,13216880225.250000,41948539501.000000,133138830251.000000,422564130927.250000,1341159783852.250000,4256654634534.000000,13510029824081.750000,42878955782025.750000,136091842351883.250000,431936580940915.000000,1370906637247642.250000,4351067010711696.000000,13809681576653100.000000,43830008772353928.000000,139110352278690352.000000,441516911657752704.000000,1401313274581250048.000000,4447573448873465856.000000,14115979589956681728.000000,44802156068843560960.000000,142195812598449258496.000000,451309733608882176000.000000,1.4323943295383726e+21
bkefn,3.000000,6.600000,15.000000,43.000000,129.400000,397.800000,1255.400000,3968.200000,12574.600000,39895.800000,126586.600000,401735.000000,1275010.600000,4046625.800000,12843362.200000,40762931.800000,129375710.600000,410620358.200000,1303251619.000000,4136339049.400000,13128164485.799999,41666967614.599998,132245159719.399994,419727744175.400024,1332157485709.399902,4228082590948.200195,13419346129447.800781,42591138344501.796875,135178349829687.406250,429037282712998.187500,1361704667880387.750000,4321861239676651.000000,13716986521107556.000000,43535807557405872.000000,138176598537831760.000000,438553307144048256.000000,1391907206011680256.000000,4417719895362483200.000000,14021228562931896320.000000,44501429486363262976.000000,141241348248563302400.000000,448280396502432153600.000000,1.4227796348610814e+21
axq,2.000000,6.666667,24.333333,83.666667,275.000000,887.666667,2832.666667,9010.333333,28624.000000,90876.333333,288470.333333,915616.666667,2906102.000000,9223657.666667,29274718.666667,92914035.333333,294896440.000000,935960544.333333,2970608964.333333,9428300207.666666,29924114247.000000,94974977858.666672,301437372399.666687,956720299711.333374,3036497179511.000000,9637419756032.333984,30587830005665.332031,97081518505748.671875,308123238338855.000000,977940306915536.625000,3103846529204056.000000,9851177222889094.000000,31266266474061708.000000,99234781499541680.000000,314957395614526016.000000,999630971654195712.000000,3172689682490492416.000000,10069675817191100416.000000,31959750625131180032.000000,101435803750184206336.000000,321943134135566401536.000000,1.021802734193283e+21,3.2430597732990216e+21
nag,2.000000,6.000000,15.666667,49.666667,152.000000,470.333333,1489.666667,4709.666667,14930.000000,47374.666667,150317.333333,477058.666667,1514074.333333,4805370.666667,15251521.666667,48406075.333333,153633974.666667,487612717.666667,1547614609.666667,4911913192.000000,15589728920.333334,49479630696.333336,157041465804.333344,498427771059.333313,1581940425846.000000,5020858904846.000000,15935507895724.666016,50577085860605.664063,160524636616900.000000,509482871994178.312500,1617027780460067.750000,5132221290487527.000000,16288956623288306.000000,51698882970483864.000000,164085064636679264.000000,520783175377261568.000000,1652893371840797952.000000,5246053689611117568.000000,16650244827125784576.000000,52845561484098928640.000000,167724462767059992576.000000,532334118901614051328.000000,1.6895544601643626e+21
aanx,2.500000,6.000000,13.750000,38.000000,119.250000,364.500000,1151.000000,3644.750000,11541.750000,36625.500000,116213.250000,368800.750000,1170503.250000,3714929.500000,11790598.500000,37421645.000000,118770903.500000,376962199.250000,1196425350.000000,3797287274.750000,12052061402.500000,38251566104.500000,121405150273.250000,385323061960.750000,1222961809053.500000,3881510699490.750000,12319375145053.750000,39099983415976.250000,124097909611945.500000,393869506450815.000000,1250087036907399.500000,3967602401953044.000000,12592618237963518.000000,39967218995822176.000000,126850394737191600.000000,402605511448392256.000000,1277813901836495872.000000,4055603615192781312.000000,12871921850220650496.000000,40853689817591414784.000000,129663929841476419584.000000,411535280583048298496.000000,1.3061557471813865e+21
ajdns,3.000000,7.400000,17.400000,49.600000,151.600000,460.000000,1451.200000,4586.600000,14522.800000,46081.000000,146202.800000,463973.600000,1472548.200000,4673539.400000,14833074.000000,47077979.400000,149418697.800000,474233979.800000,1505152307.200000,4777143576.000000,15161988856.400000,48122043015.599998,152732671004.600006,484752255463.599976,1538536240659.800049,4883100056898.000000,15498280470327.599609,49189386817523.796875,156120272844476.187500,495504033906269.187500,1572660892443270.500000,4991406958150054.000000,15842031515896710.000000,50280404834770856.000000,159583012305734208.000000,506494287392131904.000000,1607542428572526080.000000,5102116102763072512.000000,16193406944282138624.000000,51395621577705078784.000000,163122555151458140160.000000,517728304130156003328.000000,1.6431976353522175e+21
gnw,2.000000,11.666667,35.333333,109.333333,351.333333,1106.333333,3513.000000,11154.333333,35388.333333,112332.000000,356523.000000,1131540.666667,3591385.000000,11398531.666667,36177360.666667,114821956.666667,364428865.000000,1156646601.333333,3671035482.666667,11651356010.000000,36979783763.666664,117368690731.000000,372511901588.333313,1182300969653.000000,3752458851508.666504,11909782529801.666016,37799993422421.335938,119971922169234.328125,380774196127556.312500,1208524343151930.250000,3835688192225350.500000,12173940881991402.000000,38638395294642360.000000,122632893112987152.000000,389219747833226432.000000,1235329349718455552.000000,3920763555218425856.000000,12443958252455124992.000000,39495392876406145024.000000,125352884252397584384.000000,397852621432759189504.000000,1.2627288899249373e+21,4.007725885301312e+21
aarc,2.500000,6.000000,13.750000,43.000000,126.000000,399.000000,1259.750000,3981.250000,12637.250000,40085.750000,127204.500000,403725.250000,1281310.500000,4066676.250000,12907025.750000,40964989.000000,130017140.000000,412656173.750000,1309713100.500000,4156847122.000000,13193254260.000000,41873553840.750000,132900836015.750000,421808769694.750000,1338762372160.250000,4249045582487.000000,13485879749960.250000,42802306804822.000000,135848569155896.250000,431164465647584.250000,1368456050684850.500000,4343289189766493.000000,13784995854653068.000000,43751659723833280.000000,138861683294901792.000000,440727670886306432.000000,1398808334134633984.000000,4439623116265132032.000000,14090746339933294592.000000,44722069242529587200.000000,141941628149632827392.000000,450502987518496866304.000000,1.4298338296439775e+21
arjc,2.500000,7.500000,18.500000,57.500000,173.000000,539.500000,1704.000000,5386.500000,17081.500000,54191.000000,171953.000000,545726.500000,1731996.000000,5497035.000000,17446750.000000,55373400.500000,175747314.500000,557797325.500000,1770370780.500000,5618910300.000000,17833639295.500000,56601490175.000000,179645257242.500000,570169061312.500000,1809637303872.000000,5743537128915.000000,18229188073730.500000,57856907756831.000000,183629778889049.000000,582815380267396.000000,1849774963156791.750000,5870928479548547.000000,18633510507244600.000000,59140170934340304.000000,187702677752744352.000000,595742194838604544.000000,1890802874845736448.000000,6001145365393349632.000000,19046800793298231296.000000,60451896824833777664.000000,191865913303728619520.000000,608955725484386156544.000000,1.93274078347198e+21
rc,1.500000,4.000000,9.000000,26.500000,74.000000,236.000000,740.000000,2335.500000,7415.500000,23510.500000,74606.500000,236785.000000,751468.500000,2385048.000000,7569765.500000,24025287.500000,76252905.000000,242015965.000000,768124866.500000,2437921409.000000,7737623130.000000,24558139484.000000,77944118975.500000,247383792930.500000,785161753901.500000,2491994211033.500000,7909243055522.000000,25102837495844.500000,79672915085381.000000,252870752137665.500000,802576599821976.500000,2547266511203527.000000,8084669650909930.000000,25659617113832484.000000,81440056162904192.000000,258479412159365600.000000,820377706722228992.000000,2603764748860879360.000000,8263987199869259776.000000,26228746076035076096.000000,83246392338556600320.000000,264212471968560414720.000000,838573641243605073920.000000
arbc,2.500000,6.750000,16.250000,50.750000,146.750000,464.500000,1464.750000,4626.000000,14683.750000,46571.750000,147782.000000,469031.500000,1488560.250000,4724446.500000,14994676.000000,47590853.000000,151046687.750000,479400964.750000,1521551696.250000,4829193296.250000,15327187333.000000,48646360475.750000,154396782150.500000,490033912816.750000,1555299487811.250000,4936304272525.500000,15667143252242.500000,49725333805651.250000,157821294049805.000000,500902838649277.000000,1589795947874880.000000,5045791241071030.000000,16014639666518878.000000,50828239099743888.000000,161321762073887872.000000,512012837343366656.000000,1625057538637222912.000000,5157706626231973888.000000,16369843534639273984.000000,51955606777957097472.000000,164899870298313687040.000000,523369255229972152320.000000,1.6611012296398188e+21
acrr,2.500000,5.500000,11.750000,31.500000,94.000000,297.000000,934.250000,2958.750000,9385.250000,29768.250000,94470.000000,299813.750000,951529.500000,3020000.250000,9585000.750000,30421390.000000,96553197.500000,306446273.750000,972617720.000000,3086953190.000000,9797559787.000000,31096091892.250000,98694670529.250000,313243157814.750000,994190218543.750000,3155421487494.500000,10014868966314.750000,31785801300681.000000,100883712782997.250000,320190874183202.250000,1016241304791390.500000,3225408569814477.000000,10236998233782758.000000,32490808705373600.000000,103121308241090896.000000,327292690981751616.000000,1038781483644864512.000000,3296947962775030784.000000,10464054317859442688.000000,33211453138905636864.000000,105408533451053219840.000000,334552025707236163584.000000,1.0618216024871249e+21
mnde,2.500000,5.750000,14.000000,44.250000,129.000000,405.000000,1280.750000,4044.250000,12834.000000,40712.750000,129183.750000,410005.250000,1301239.000000,4129904.000000,13107702.000000,41601883.500000,132038517.250000,419071738.000000,1330075135.750000,4221473335.000000,13398368823.500000,42524558769.250000,134967035031.250000,428366597825.000000,1359576006289.250000,4315105162389.750000,13695543668914.250000,43467750924375.000000,137960596245517.500000,437867745903007.500000,1389731329969910.000000,4410813967401466.500000,13999310107999316.000000,44431863358654976.000000,141020555033954560.000000,447579629545582208.000000,1420555497997667840.000000,4508645589926066176.000000,14309814072180164608.000000,45417359758304641024.000000,144148383550661115904.000000,457506922261572091904.000000,1.4520633444612492e+21
rnk,2.000000,5.000000,12.000000,36.000000,114.333333,356.333333,1130.000000,3581.666667,11354.333333,36034.333333,114348.000000,362901.333333,1151784.666667,3655551.333333,11602171.666667,36823625.333333,116872948.333333,370938402.666667,1177306735.333333,3736607608.333333,11859472680.333334,37640316518.000000,119465129399.666672,379165705779.666687,1203419217451.666748,3819485232194.666504,12122514938682.000000,38475176500232.000000,122114859356369.328125,387575580730180.312500,1230110991987348.000000,3904201213505692.500000,12391391683221624.000000,39328553896230720.000000,124823360532079472.000000,396171986786827520.000000,1257394789289388288.000000,3990796191712696832.000000,12666232101048748032.000000,40200859159581908992.000000,127591936123982200832.000000,404959060681817587712.000000,1.2852837397886017e+21
vnkd,2.500000,7.000000,18.000000,57.250000,175.000000,547.750000,1736.000000,5492.000000,17419.750000,55273.250000,175390.500000,556644.250000,1766659.750000,5607055.750000,17795960.000000,56481761.000000,179265107.500000,568962354.500000,1805807052.750000,5731380142.000000,18190603017.250000,57734443429.000000,183241093434.500000,581581745458.250000,1845859576284.250000,5858501584335.500000,18594069267093.750000,59014989919882.750000,187305370617490.750000,594481197239041.000000,1886800643827326.500000,5988442840730971.000000,19006484746580624.000000,60323939299400848.000000,191459793913395328.000000,607666759019618816.000000,1928649783173012480.000000,6121266188946285568.000000,19428047581708582912.000000,61661921110166192128.000000,195706362103833624576.000000,621144775873713930240.000000,1.9714271342415852e+21
axndh,3.000000,10.200000,27.600000,82.800000,252.400000,777.000000,2440.000000,7698.800000,24370.600000,77276.800000,245148.600000,777925.800000,2468849.400000,7835513.800000,24868517.000000,78928776.400000,250508351.200000,795077941.000000,2523465756.200000,8009127995.800000,25419856667.200001,80679087355.800003,256064199857.000000,812712154553.199951,2579435346522.600098,8186769053045.599609,25983666406803.601563,82468543538782.796875,261743688038184.406250,830738064365157.625000,2636647083143235.000000,8368351155799018.000000,26559982757904608.000000,84297691500702464.000000,267549149301927328.000000,849163791058310144.000000,2695127777180325376.000000,8553960745637173248.000000,27149081782851321856.000000,86167409878270328832.000000,273483375405342195712.000000,867998199420879765504.000000,2.7549055699682224e+21
nand,2.500000,6.000000,14.500000,44.500000,134.000000,414.000000,1309.500000,4138.000000,13118.000000,41622.000000,132063.500000,419127.500000,1330209.500000,4221822.500000,13399427.000000,42527795.500000,134977161.000000,428398598.500000,1359677271.500000,4315426273.000000,13696562434.000000,43470983667.500000,137970855879.000000,437900307488.000000,1389834674454.000000,4411141966843.500000,14000351129954.500000,44435167414388.500000,141031041643311.500000,447612912579012.000000,1420661133709807.500000,4508980862975107.000000,14310878182196084.000000,45420737095489296.000000,144159102749164096.000000,457540943506837696.000000,1452171323162249216.000000,4608989822095160320.000000,14628292709925304320.000000,46428166662772137984.000000,147356544089631948800.000000,467689177644197609472.000000,1.4843804069703078e+21
unz,2.000000,5.333333,15.666667,51.333333,159.000000,503.333333,1598.666667,5066.333333,16082.333333,51040.666667,161985.000000,514125.666667,1631749.000000,5178934.000000,16437225.333333,52169429.333333,165578512.666667,525523163.000000,1667937362.000000,5293801238.333333,16801788832.666666,53326540978.000000,169251024801.666656,537179214271.666687,1704932118924.666748,5411217435577.666992,17174451586529.666016,54509320835358.335938,173005003563670.000000,549093821009203.312500,1742747423833735.000000,5531237954375055.000000,17555380022093094.000000,55718334713182200.000000,176842245471372096.000000,561272693168965120.000000,1781401470318591232.000000,5653920522190676992.000000,17944757430525704192.000000,56954164455718060032.000000,180764597203805962240.000000,573721692075031789568.000000,1.8209128615285471e+21
enb,2.000000,5.000000,12.333333,38.000000,112.000000,349.000000,1102.666667,3482.666667,11046.000000,35041.666667,111186.333333,352875.000000,1119927.000000,3554438.000000,11281245.666667,35804984.666667,113639941.000000,360677223.666667,1144739085.333333,3633242436.000000,11531405801.000000,36599077762.000000,116160382326.666672,368676897728.666687,1170129199291.000000,3713827343869.666504,11787171494466.333984,37410843045193.000000,118736812988636.000000,376854131352195.000000,1196082602723198.750000,3796199838403461.500000,12048610338705014.000000,38240613580313896.000000,121370389272325456.000000,385212736222957760.000000,1222611652133994752.000000,3880399351771893760.000000,12315847884281075712.000000,39088788384497057792.000000,124062378142728011776.000000,393756734515046776832.000000,1.2497291144748293e+21
nald,2.500000,6.000000,14.500000,44.500000,134.000000,414.000000,1309.500000,4138.000000,13118.000000,41622.000000,132063.500000,419127.500000,1330209.500000,4221822.500000,13399427.000000,42527795.500000,134977161.000000,428398598.500000,1359677271.500000,4315426273.000000,13696562434.000000,43470983667.500000,137970855879.000000,437900307488.000000,1389834674454.000000,4411141966843.500000,14000351129954.500000,44435167414388.500000,141031041643311.500000,447612912579012.000000,1420661133709807.500000,4508980862975107.000000,14310878182196084.000000,45420737095489296.000000,144159102749164096.000000,457540943506837696.000000,1452171323162249216.000000,4608989822095160320.000000,14628292709925304320.000000,46428166662772137984.000000,147356544089631948800.000000,467689177644197609472.000000,1.4843804069703078e+21
aintd,3.000000,7.800000,19.400000,59.600000,178.000000,555.200000,1755.200000,5547.400000,17593.600000,55816.200000,177107.200000,562087.200000,1783917.000000,5661819.000000,17969752.000000,57033319.400000,181015659.000000,574518308.200000,1823440818.000000,5787347207.200000,18368234570.000000,58298221162.000000,185030445391.799988,587260899439.199951,1863884420958.199951,5915709934121.599609,18775640612596.398438,59591272118245.398438,189134410168775.812500,600286314403798.375000,1905225278372392.000000,6046920068407781.000000,19192083334628572.000000,60913003406134128.000000,193329401465329760.000000,613600633377779072.000000,1947483075144915456.000000,6181040438465283072.000000,19617762736705904640.000000,62264050627898155008.000000,197617437453239517184.000000,627210263254010560512.000000,1.9906781476419577e+21
tnxd,2.500000,7.000000,17.250000,49.750000,150.250000,465.250000,1467.500000,4640.750000,14708.500000,46661.750000,148058.250000,469874.500000,1491260.500000,4732963.750000,15021675.500000,47676564.500000,151318588.000000,480263929.250000,1524290564.250000,4837885825.750000,15354776230.750000,48733923484.000000,154674694568.750000,490915968110.000000,1558099007752.750000,4945189558940.750000,15695343915000.000000,49814838785345.500000,158105370406741.750000,501804457496512.000000,1592657560701546.500000,5054873602207868.000000,16043465817650584.000000,50919729294493728.000000,161612139228213312.000000,512934454047597568.000000,1627982621884565504.000000,5166990433659315200.000000,16399309048287969280.000000,52049126220424667136.000000,165196688002689400832.000000,524311313344372801536.000000,1.6640911910802088e+21
buo,2.000000,5.000000,23.666667,87.333333,285.666667,930.333333,2975.666667,9470.666667,30113.333333,95622.666667,303570.666667,963609.666667,3058476.000000,9707382.333333,30810133.333333,97787371.333333,310364012.333333,985052765.000000,3126421246.000000,9922827371.666666,31493675367.666668,99956547629.000000,317248183497.333313,1006901616932.666626,3195765704132.666504,10142915906482.000000,32192204490543.667969,102173580002009.328125,324284733367841.687500,1029234644522525.375000,3266647623132660.000000,10367885253822086.000000,32906225904203700.000000,104439784656994224.000000,331477351761638208.000000,1052063014987612800.000000,3339101696156511744.000000,10597844405172178944.000000,33636084269466300416.000000,106756253604786552832.000000,338829502043887697920.000000,1.0753977174987824e+21,3.413162796702971e+21
bgt,2.000000,6.666667,18.000000,57.333333,171.333333,535.333333,1693.333333,5350.666667,16971.333333,53841.333333,170838.666667,542194.666667,1720778.000000,5461424.666667,17333730.000000,55014666.000000,174608736.000000,554183620.666667,1758901333.333333,5582507862.000000,17718102952.666668,56234793804.000000,178481413918.666656,566475184275.333374,1797913451730.666748,5706327252516.000000,18111089100504.000000,57482078039895.335938,182440121495575.343750,579039573148715.375000,1837791076473714.750000,5832893289848360.000000,18512792104797132.000000,58757027513624064.000000,186486633820238944.000000,591882640515539328.000000,1878553186183586816.000000,5962266557178940416.000000,18923404863012851712.000000,60060255303132930048.000000,190622897580557434880.000000,605010566448794697728.000000,1.9202193973575667e+21
jut,2.000000,6.333333,21.666667,76.333333,242.333333,774.666667,2469.000000,7834.666667,24883.000000,78987.000000,250697.333333,795717.333333,2525507.666667,8015640.000000,25440600.000000,80744945.333333,256273331.666667,813376037.000000,2581542495.666667,8193457129.666667,26004893648.666668,82535916139.666672,261957519916.666656,831416737448.333374,2638801097997.000000,8375187700627.333008,26581681001514.667969,84366558710562.328125,267767724250995.343750,849857517551838.625000,2697329568597624.500000,8560948925391749.000000,27171261293534300.000000,86237804560622224.000000,273706798337150048.000000,868707312734391936.000000,2757156197006921728.000000,8750830323697200128.000000,27773918444398587904.000000,88150554544199237632.000000,279777600773397413888.000000,887975195383151329280.000000,2.818309776894478e+21
biut,2.500000,7.000000,23.250000,80.500000,254.250000,817.500000,2604.500000,8267.250000,26264.250000,83368.000000,264612.750000,839892.750000,2665712.750000,8460660.000000,26853040.500000,85227850.000000,270501505.500000,858534291.750000,2724868584.500000,8648354301.750000,27448674046.500000,87118274527.000000,276501288315.750000,877576635869.250000,2785306196444.000000,8840174508506.250000,28057484463237.750000,89050553654776.750000,282634072788042.000000,897041240304345.000000,2847084142640538.000000,9036249116608696.000000,28679797999102840.000000,91025690267583776.000000,288902881706083968.000000,916937567984594688.000000,2910232319651448832.000000,9236672648236494848.000000,29315914415003869184.000000,93044635305107832832.000000,295310732474703937536.000000,937275195166019682304.000000,2.9747811199132437e+21
bouy,2.500000,7.000000,32.750000,112.000000,366.250000,1183.000000,3768.000000,11987.750000,38086.250000,120914.000000,383837.750000,1218324.750000,3866888.250000,12273136.000000,38953393.000000,123632910.000000,392394036.500000,1245404496.250000,3952741324.000000,12545452059.750000,39817521103.000000,126375276012.500000,401097552528.250000,1273027852465.250000,4040413363723.000000,12823710108912.250000,40700672461874.750000,129178274043285.250000,409993876631536.000000,1301263545421802.500000,4130029522742685.000000,13108139330185600.000000,41603411247594896.000000,132043441394447552.000000,419087519326758912.000000,1330125502642554112.000000,4221633361027338752.000000,13398877173267869696.000000,42526172727758897152.000000,134972158001363402752.000000,428382858532048994304.000000,1.3596276165506347e+21,4.3152689676280786e+21
aljso,3.000000,7.200000,23.400000,75.600000,243.600000,767.400000,2441.800000,7755.200000,24613.000000,78143.400000,248026.600000,787223.200000,2498594.400000,7930215.200000,25169482.800000,79884548.600000,253542526.400000,804708943.000000,2554034482.000000,8106150508.800000,25727794890.200001,81656443387.399994,259166195874.399994,822557463835.800049,2610682995873.799805,8285944755719.400391,26298436306965.601563,83467579442331.593750,264914489079536.406250,840801745927531.250000,2668587808876305.500000,8469726577240582.000000,26881734247059944.000000,85318885980474320.000000,270790278560409792.000000,859450684571778432.000000,2727776946564572672.000000,8657584668649652224.000000,27477969703217799168.000000,87211254398129848320.000000,276796392740932812800.000000,878513255693241417728.000000,2.7882788962177374e+21
ahliso,3.500000,8.000000,24.833333,76.500000,243.666667,769.333333,2438.500000,7740.000000,24557.666667,77943.333333,247381.833333,785146.833333,2491959.166667,7909131.166667,25102484.000000,79671826.833333,252867298.666667,802565679.166667,2547231917.833333,8084559879.666667,25659268851.666668,81438950949.500000,258475904490.000000,820366574204.666626,2603729416041.666504,8263875058849.500000,26228390156758.832031,83245262700860.500000,264208886656837.156250,838562261964307.375000,2661479998222728.500000,8447167374721937.000000,26810134475629556.000000,85091638263525344.000000,270069025910786816.000000,857161528968522368.000000,2720511485039225344.000000,8634525104196689920.000000,27404781852603678720.000000,86978966338724298752.000000,276059142745344442368.000000,876173326738711511040.000000,2.780852287136672e+21
aso,2.000000,4.000000,15.333333,52.333333,170.000000,545.666667,1741.333333,5539.333333,17601.000000,55890.333333,177424.666667,563174.333333,1787505.666667,5673388.333333,18006675.333333,57150850.666667,181389083.333333,575704033.333333,1827204942.333333,5799294930.000000,18406156315.666668,58418581326.666664,185412454018.666656,588473344953.666626,1867732558557.000000,5927923393090.000000,18814404440540.332031,59714303126808.335938,189524893492899.000000,601525654187028.625000,1909158770508764.250000,6059404425438584.000000,19231706947651324.000000,61038763243354024.000000,193728545698961920.000000,614867461665295232.000000,1951503811948185856.000000,6193801697903676416.000000,19658265199418777600.000000,62392599811755646976.000000,198025434685100883968.000000,628505189726596104192.000000,1.9947880641768152e+21
osoz,2.500000,6.000000,21.000000,70.500000,222.500000,712.000000,2266.500000,7197.500000,22864.500000,72584.000000,230395.000000,731291.000000,2321052.000000,7366771.500000,23381212.000000,74208812.500000,235528648.000000,747535390.000000,2372573637.500000,7530219230.500000,23899869070.000000,75854861331.500000,240752781555.500000,764115847630.500000,2425197434432.000000,7697239380054.000000,24429967318056.000000,77537318726427.000000,246092666306130.500000,781063898051476.000000,2478988187634016.500000,7867963747581091.000000,24971822714605020.000000,79257092393330144.000000,251550988745801504.000000,798387854363318912.000000,2533972015665477120.000000,8042474770982322176.000000,25525696433115525120.000000,81015010547055886336.000000,257130376486989004800.000000,816096055112385036288.000000,2.590175382112809e+21
aos,2.000000,4.000000,13.000000,42.000000,135.000000,428.000000,1362.666667,4330.333333,13749.666667,43656.000000,138573.666667,439837.666667,1396025.000000,4430829.333333,14062906.000000,44633801.333333,141661583.333333,449614341.666667,1427013600.666667,4529142985.000000,14374870373.333334,45623839895.333336,144803723489.666656,459586881051.000000,1458664845557.333252,4629599360821.000000,14693704521819.000000,46635774659565.000000,148015463002904.000000,469780494642312.000000,1491017956283854.750000,4732283633120345.000000,15019610119308336.000000,47670153698538832.000000,151298438214486816.000000,480200201386019072.000000,1524088656383010560.000000,4837245435988628480.000000,15352744284261900288.000000,48727475208162959360.000000,154654229641283141632.000000,490851016675124379648.000000,1.5578928628712313e+21
aunjd,3.000000,9.000000,26.200000,86.400000,271.600000,851.200000,2704.800000,8569.800000,27186.800000,86289.000000,273832.400000,869096.000000,2758370.600000,8754611.400000,27785909.200000,88188523.400000,279897985.800000,888357236.600000,2819522073.600000,8948770748.799999,28402153618.799999,90144485051.600006,286106058551.000000,908060839543.599976,2882058816947.799805,9147253867980.400391,29032111640232.398438,92143884765005.406250,292451875527989.812500,928201580801818.000000,2945982729810141.500000,9350139478161616.000000,29676042353018740.000000,94187631296333408.000000,298938442791112576.000000,948789043194222592.000000,3011324472290939904.000000,9557525081539168256.000000,30334255416440291328.000000,96276708020069613568.000000,305568881778390335488.000000,969833134425739362304.000000,3.0781154911978096e+21
asnpd,3.000000,7.800000,19.400000,59.600000,177.600000,551.200000,1742.000000,5503.400000,17450.400000,55362.200000,175661.200000,557494.400000,1769339.800000,5615541.800000,17822872.400000,56567137.000000,179536040.600000,569822203.400000,1808536007.600000,5740041380.400000,18218092442.799999,57821690860.000000,183518004439.000000,582460622135.199951,1848649008229.800049,5867354852869.200195,18622168309379.601563,59104172371368.203125,187588423314325.812500,595379567132045.250000,1889651944926659.250000,5997492473878432.000000,19035207023628156.000000,60415099812255144.000000,191749124703233792.000000,608585054708495232.000000,1931564325979484928.000000,6130516542480205824.000000,19457406917352071168.000000,61755103558411771904.000000,196002110235415216128.000000,622083439312814997504.000000,1.974406321454681e+21
avde,2.500000,6.250000,16.250000,55.250000,162.250000,514.500000,1631.750000,5154.500000,16366.750000,51923.750000,164763.000000,522944.000000,1659678.750000,5267549.000000,16718445.500000,53061855.000000,168410905.250000,534512639.750000,1696468472.750000,5384354902.750000,17089193148.000000,54238721886.750000,172146159747.000000,546367968942.750000,1734095947551.250000,5503779370466.500000,17468230292849.000000,55441733590766.750000,175964351972504.500000,558486381289333.500000,1772558103907925.000000,5625852907065242.000000,17855674723550056.000000,56671428332750496.000000,179867232070404608.000000,570873579940729024.000000,1811873349709337344.000000,5750634029565389824.000000,18251712652708728832.000000,57928397641785720832.000000,183856677846987341824.000000,583535526011985723392.000000,1.8520606056064683e+21
