word,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42
andxxxxxx,5.000000,14.666667,34.444444,86.444444,272.333333,833.888889,2620.777778,8308.111111,26297.333333,83430.111111,264734.222222,840082.777778,2666240.555556,8462069.111111,26857160.444444,85240698.555556,270541578.444444,858660846.444444,2725269490.444445,8649625113.666666,27452706143.888889,87131069579.222229,276541894653.222229,877705511636.222168,2785715224264.333496,8841472698902.000000,28061604730800.109375,89063630796786.109375,282675577802814.687500,897172971427318.250000,2847502238872378.000000,9037576095867004.000000,28684009646667056.000000,91039057451154688.000000,288945307287638080.000000,917072220880066048.000000,2910659689214945792.000000,9238029059795298304.000000,29320219476651188224.000000,93058298972058681344.000000,295354099053360775168.000000,937412834655561973760.000000,2.975217968511132e+21
allx,2.500000,6.000000,13.250000,33.000000,102.750000,309.500000,972.000000,3077.250000,9734.250000,30884.500000,97991.750000,310954.250000,986903.750000,3132201.500000,9941075.500000,31551514.000000,100139890.500000,317829915.750000,1008747691.000000,3201624397.250000,10161510211.500000,32251219474.500000,102360884362.750000,324879210395.250000,1031121430032.500000,3272636015894.250000,10386891576991.250000,32966549326284.750000,104631242804779.500000,332085013289129.000000,1053991648156879.500000,3345222909604310.000000,10617272285343492.000000,33697745659217424.000000,106951958280403600.000000,339450641467045120.000000,1077369127644198016.000000,3419419778334798848.000000,10852762827940241408.000000,34445159891097059328.000000,109324147107380264960.000000,346979638896820879360.000000,1.1012651184071355e+21
balance,4.000000,9.000000,21.000000,67.142857,195.714286,614.428571,1942.285714,6132.571429,19461.714286,61737.857143,195899.857143,621753.857143,1973272.428571,6262829.142857,19877300.428571,63087589.142857,200231143.857143,635505598.428571,2017006003.428571,6401696344.857142,20318093279.571430,64486801674.571426,204672139536.571442,649600905024.000000,2061742929356.142822,6543685323391.571289,20768747164032.429688,65917115126604.710938,209211756124742.000000,664009018255191.250000,2107472278300188.500000,6688823919110667.000000,21229396885357504.000000,67379153281125928.000000,213852061902589280.000000,678736703460530176.000000,2154215902927902464.000000,6837181682922504192.000000,21700263795172528128.000000,68873619368089305088.000000,218595289422966030336.000000,693791047956014694400.000000,2.2019962987058482e+21
andxxxxxxx,5.500000,16.200000,38.000000,94.800000,299.100000,915.500000,2876.700000,9120.300000,28866.600000,91581.100000,290598.800000,922155.500000,2926722.500000,9288780.200000,29480994.400000,93568365.700000,296972373.600000,942548458.800000,2991517044.400000,9494657678.299999,30134721874.500000,95643414321.300003,303558892726.900024,963453705933.599976,3057868067201.899902,9705247972693.800781,30803107321429.101563,97764778749583.500000,310291811310127.187500,984823055909056.375000,3125691417266493.500000,9920509859521714.000000,31486318620377076.000000,99933196408575328.000000,317174067405125504.000000,1006666379638504448.000000,3195019088998154240.000000,10140546248031670272.000000,32184683516465197056.000000,102149709465216712704.000000,324208971590169133056.000000,1.0289941871576908e+21,3.265884444872106e+21
both,2.500000,9.000000,28.500000,92.000000,284.000000,890.500000,2809.500000,8882.000000,28154.500000,89302.500000,283352.500000,899236.000000,2853911.000000,9057745.000000,28747817.000000,91241251.500000,289586672.000000,919107318.500000,2917118083.000000,9258526258.000000,29385273506.500000,93264769794.500000,296009406717.000000,939492687120.500000,2981819127291.500000,9463879215021.500000,30037036452855.000000,95333376356135.000000,302574878257061.000000,960330583617709.000000,3047955716459601.000000,9673787556090180.000000,30703256341672900.000000,97447865638694240.000000,309285973183596160.000000,981630665599235072.000000,3115559214425939968.000000,9888351656851664896.000000,31384252957483438080.000000,99609254189177241600.000000,316145919852404604928.000000,1.0034031822937075e+21,3.184662154448105e+21
andxxxxxxxx,6.000000,17.727273,41.545455,103.181818,325.909091,997.272727,3133.181818,9934.181818,31441.363636,99749.545455,316518.727273,1004404.181818,3187762.818182,10117263.636364,32110454.000000,101913887.636364,323459838.090909,1026615932.272727,3258335452.454545,10341502056.272728,32822488049.090908,104174010173.909088,330633817290.727295,1049385750855.181763,3330604426456.636230,10570875246130.908203,33550487901371.816406,106484582623006.453125,337967256114982.375000,1072661068814521.250000,3404477054341801.500000,10805336700079330.000000,34294635956901336.000000,108846405073968224.000000,345463352123638016.000000,1096452635063267200.000000,3479988176884843008.000000,11044998501517418496.000000,35055289184265674752.000000,111260612631470014464.000000,353125711160480104448.000000,1.1207718970201312e+21,3.55717413218673e+21
andxxxxxxxxx,6.500000,19.250000,45.083333,111.583333,352.750000,1079.166667,3390.083333,10749.333333,34020.250000,107931.083333,342480.166667,1086784.833333,3449221.916667,10947076.333333,34744132.833333,110272800.666667,349989804.583333,1110818301.583333,3525582001.083333,11189705294.250000,35514567056.666664,112718294359.416672,357752186722.166687,1135455683744.916748,3603778422949.250000,11437891519302.000000,36302276973299.835938,115218378436898.578125,365687109392994.500000,1160640028037781.250000,3683710035428004.000000,11691583348314130.000000,37107459565536280.000000,117773916020340304.000000,373798030292919360.000000,1186382962987773184.000000,3765414530849142784.000000,11950902053940199424.000000,37930501073055997952.000000,120386135302544752640.000000,382088851005917888512.000000,1.2126968749028053e+21,3.8489312277165905e+21
arex,2.500000,6.000000,14.000000,39.750000,121.250000,379.750000,1199.250000,3797.500000,12041.750000,38203.500000,121231.250000,384744.250000,1221087.000000,3875510.500000,12300266.750000,39039246.000000,123905021.000000,393257149.000000,1248143286.750000,3961432933.750000,12573036829.250000,39905069826.750000,126653141261.000000,401979455452.750000,1275826885992.000000,4049297101671.250000,12851905851242.750000,40790161817719.500000,129462300801147.500000,410895338045137.750000,1304124658558045.500000,4139110297905844.500000,13136960447626728.000000,41694885466066408.000000,132333767842228480.000000,420008975095396096.000000,1333050075102593792.000000,4230915547286686720.000000,13428337541554622464.000000,42619675839562899456.000000,135268923874483978240.000000,429324752141254131712.000000,1.3626170558744106e+21
andxxxxxxxxxx,7.000000,20.769231,48.615385,120.000000,379.615385,1161.153846,3647.307692,11565.461538,36602.307692,116122.692308,368473.538462,1169267.000000,3711003.153846,11777911.538462,37381057.230769,118642014.538462,376552464.923077,1195124436.923077,3793157888.615385,12038953809.153847,38209963628.076920,121273108031.769226,384903975282.538452,1221631684302.461426,3877289063471.000000,12305976253806.923828,39057457192908.843750,123962937281920.843750,393441123034973.562500,1248727407505498.750000,3963287127291818.500000,12578922156300608.000000,39923749537333280.000000,126712428721311760.000000,402167626501253760.000000,1276424115912081920.000000,4051192627950065664.000000,12857921990160699392.000000,40809256208761593856.000000,129522903746559066112.000000,411087683370684055552.000000,1.3047351358779669e+21,4.1410478680274025e+21
anyone,3.500000,7.500000,24.833333,79.333333,249.000000,792.666667,2516.000000,7986.166667,25357.666667,80485.833333,255465.333333,810837.000000,2573500.166667,8167979.166667,25924082.333333,82279487.500000,261143770.166667,828834119.500000,2630604394.000000,8349172770.000000,26499113489.000000,84104501355.000000,266935991229.833344,847217713271.666626,2688951198036.833496,8534357143714.000000,27086862678381.332031,85969935096247.828125,272856617913544.500000,866008958311175.625000,2748591995341344.500000,8723648738665789.000000,27687647873740156.000000,87876743750837872.000000,278908563394936192.000000,885216991603456384.000000,2809555621689045504.000000,8917138810300338176.000000,28301758451879817216.000000,89825845319724105728.000000,285094740707430793216.000000,904851058063906963456.000000,2.87187141806868e+21
